TEXTURE,TEXTURE_CODE,TEXTURE_QUALIFIER,DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,N_CODES,FINAL_RANK
ZMC+,ZMC,+,silty medium clay,clay,medium clay,"medium clay, silty","medium clay, silty",5,260
MC-,MC,-,medium clay,clay,medium clay,medium clay,medium clay,1058,261
MCA,MC,A,medium clay,clay,medium clay,medium clay,sapric medium clay,24,262
MC,MC,NA,medium clay,clay,medium clay,medium clay,medium clay,71041,263
MCI,MC,I,medium clay,clay,medium clay,medium clay,fibric medium clay,156,264
MC+,MC,+,medium clay,clay,medium clay,medium clay,medium clay,5416,265
KSMHC-,KSMHC,-,coarse sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, coarse","medium heavy clay, sandy, coarse",2,266
KSMHC,KSMHC,NA,coarse sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, coarse","medium heavy clay, sandy, coarse",220,267
KSMHC+,KSMHC,+,coarse sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, coarse","medium heavy clay, sandy, coarse",8,268
SMHC-,SMHC,-,sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, medium","medium heavy clay, sandy, medium",2,269
MHCS,MHCS,NA,medium heavy clay; sandy,clay,medium heavy clay,"medium heavy clay, sandy, medium","medium heavy clay, sandy, medium",24,270
SMHC,SMHC,NA,sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, medium","medium heavy clay, sandy, medium",712,271
SMHC+,SMHC,+,sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, medium","medium heavy clay, sandy, medium",3,272
FSMHC-,FSMHC,-,fine sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, fine","medium heavy clay, sandy, fine",2,273
FSMHC,FSMHC,NA,fine sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, fine","medium heavy clay, sandy, fine",895,274
MHCFS,MHCFS,NA,medium heavy clay; fine sandy,clay,medium heavy clay,"medium heavy clay, sandy, fine","medium heavy clay, sandy, fine",35,275
FSMHC+,FSMHC,+,fine sandy medium heavy clay,clay,medium heavy clay,"medium heavy clay, sandy, fine","medium heavy clay, sandy, fine",14,276
ZMHC,ZMHC,NA,silty medium heavy clay,clay,medium heavy clay,"medium heavy clay, silty","medium heavy clay, silty",323,277
ZMHCI,ZMHC,I,silty medium heavy clay,clay,medium heavy clay,"medium heavy clay, silty","fibric medium heavy clay, silty",2,278
MHC-,MHC,-,medium heavy clay,clay,medium heavy clay,medium heavy clay,medium heavy clay,523,279
MHCA,MHC,A,medium heavy clay,clay,medium heavy clay,medium heavy clay,sapric medium heavy clay,9,280
MHC,MHC,NA,medium heavy clay,clay,medium heavy clay,medium heavy clay,medium heavy clay,39114,281
MHCI,MHC,I,medium heavy clay,clay,medium heavy clay,medium heavy clay,fibric medium heavy clay,29,282
MHC+,MHC,+,medium heavy clay,clay,medium heavy clay,medium heavy clay,medium heavy clay,472,283
MHC1,MHC,1,medium heavy clay,clay,medium heavy clay,medium heavy clay,medium heavy clay,2,284
KSHC,KSHC,NA,coarse sandy heavy clay,clay,heavy clay,"heavy clay, sandy, coarse","heavy clay, sandy, coarse",42,285
KSHC+,KSHC,+,coarse sandy heavy clay,clay,heavy clay,"heavy clay, sandy, coarse","heavy clay, sandy, coarse",1,286
SHC-,SHC,-,sandy heavy clay,clay,heavy clay,"heavy clay, sandy, medium","heavy clay, sandy, medium",1,287
SHC,SHC,NA,sandy heavy clay,clay,heavy clay,"heavy clay, sandy, medium","heavy clay, sandy, medium",184,288
SHC+,SHC,+,sandy heavy clay,clay,heavy clay,"heavy clay, sandy, medium","heavy clay, sandy, medium",1,289
FSHC-,FSHC,-,fine sandy heavy clay,clay,heavy clay,"heavy clay, sandy, fine","heavy clay, sandy, fine",2,290
FSHC,FSHC,NA,fine sandy heavy clay,clay,heavy clay,"heavy clay, sandy, fine","heavy clay, sandy, fine",99,291
FSHC+,FSHC,+,fine sandy heavy clay,clay,heavy clay,"heavy clay, sandy, fine","heavy clay, sandy, fine",1,292
ZHC,ZHC,NA,silty heavy clay,clay,heavy clay,"heavy clay, silty","heavy clay, silty",80,293
ZHCI,ZHC,I,silty heavy clay,clay,heavy clay,"heavy clay, silty","fibric heavy clay, silty",1,294
HC-,HC,-,heavy clay,clay,heavy clay,heavy clay,heavy clay,459,295
HCA,HC,A,heavy clay,clay,heavy clay,heavy clay,sapric heavy clay,1,296
HC,HC,NA,heavy clay,clay,heavy clay,heavy clay,heavy clay,17196,297
HCI,HC,I,heavy clay,clay,heavy clay,heavy clay,fibric heavy clay,17,298
HC+,HC,+,heavy clay,clay,heavy clay,heavy clay,heavy clay,33,299
