COLOUR_BOOK,COLOUR_CODE,HUE,VALUE,CHROMA,R,G,B,HEX
J,10Y82,10Y,8,2,203,202,170,#CBCAAA
J,10YR1.7/1,10YR,1.7,1,49,41,34,#312922
J,10YR11,10YR,1,1,35,27,20,#231B14
J,10YR21,10YR,2,1,55,48,41,#373029
J,10YR22,10YR,2,2,60,46,33,#3C2E21
J,10YR23,10YR,2,3,64,45,24,#402D18
J,10YR31,10YR,3,1,79,70,62,#4F463E
J,10YR32,10YR,3,2,84,69,53,#544535
J,10YR33,10YR,3,3,89,68,44,#59442C
J,10YR34,10YR,3,4,93,67,34,#5D4322
J,10YR35,10YR,3,5,96,65,23,#604117
J,10YR36,10YR,3,6,99,64,8,#634008
J,10YR41,10YR,4,1,104,95,85,#685F55
J,10YR42,10YR,4,2,110,93,75,#6E5D4B
J,10YR43,10YR,4,3,115,92,64,#735C40
J,10YR44,10YR,4,4,120,91,54,#785B36
J,10YR45,10YR,4,5,124,90,44,#7C5A2C
J,10YR46,10YR,4,6,127,89,33,#7F5921
J,10YR51,10YR,5,1,129,120,111,#81786F
J,10YR52,10YR,5,2,135,119,100,#877764
J,10YR53,10YR,5,3,141,118,90,#8D765A
J,10YR54,10YR,5,4,146,116,79,#92744F
J,10YR55,10YR,5,5,151,115,67,#977343
J,10YR56,10YR,5,6,155,114,55,#9B7237
J,10YR57,10YR,5,6,155,114,55,#9B7237
J,10YR58,10YR,5,8,162,112,28,#A2701C
J,10YR61,10YR,6,1,155,146,136,#9B9288
J,10YR62,10YR,6,2,161,145,125,#A1917D
J,10YR63,10YR,6,3,167,144,114,#A79072
J,10YR64,10YR,6,4,172,143,103,#AC8F67
J,10YR65,10YR,6,5,178,141,92,#B28D5C
J,10YR66,10YR,6,6,182,140,80,#B68C50
J,10YR67,10YR,6,7,186,139,68,#BA8B44
J,10YR68,10YR,6,8,190,138,54,#BE8A36
J,10YR71,10YR,7,1,181,172,162,#B5ACA2
J,10YR72,10YR,7,2,188,171,150,#BCAB96
J,10YR73,10YR,7,3,194,170,139,#C2AA8B
J,10YR74,10YR,7,4,199,169,127,#C7A97F
J,10YR75,10YR,7,5,204,168,116,#CCA874
J,10YR76,10YR,7,6,209,167,104,#D1A768
J,10YR78,10YR,7,8,217,164,80,#D9A450
J,10YR81,10YR,8,1,207,199,187,#CFC7BB
J,10YR82,10YR,8,2,214,198,175,#D6C6AF
J,10YR83,10YR,8,3,220,197,164,#DCC5A4
J,10YR84,10YR,8,4,226,196,152,#E2C498
J,10YR86,10YR,8,6,236,193,129,#ECC181
J,10YR88,10YR,8,8,245,191,104,#F5BF68
J,2.5GY21,2.5GY,2,1,48,50,42,#30322A
J,2.5GY31,2.5GY,3,1,71,73,63,#47493F
J,2.5GY41,2.5GY,4,1,95,97,86,#5F6156
J,2.5GY51,2.5GY,5,1,121,123,110,#797B6E
J,2.5GY61,2.5GY,6,1,147,149,135,#939587
J,2.5GY71,2.5GY,7,1,173,175,160,#ADAFA0
J,2.5GY81,2.5GY,8,1,200,201,185,#C8C9B9
J,2.5Y21,2.5Y,2,1,54,48,40,#363028
J,2.5Y31,2.5Y,3,1,77,71,62,#4D473E
J,2.5Y32,2.5Y,3,2,81,70,52,#514634
J,2.5Y33,2.5Y,3,3,85,69,42,#55452A
J,2.5Y34,2.5Y,3,4,89,69,31,#59451F
J,2.5Y36,2.5Y,3,6,94,67,1,#5E4301
J,2.5Y41,2.5Y,4,1,102,95,85,#665F55
J,2.5Y42,2.5Y,4,2,107,94,73,#6B5E49
J,2.5Y43,2.5Y,4,3,112,94,62,#705E3E
J,2.5Y44,2.5Y,4,4,115,93,51,#735D33
J,2.5Y46,2.5Y,4,6,121,92,27,#795C1B
J,2.5Y51,2.5Y,5,1,128,121,110,#80796E
J,2.5Y52,2.5Y,5,2,133,120,99,#857863
J,2.5Y53,2.5Y,5,3,137,119,87,#897757
J,2.5Y54,2.5Y,5,4,142,118,75,#8E764B
J,2.5Y55,2.5Y,5,5,146,118,62,#92763E
J,2.5Y56,2.5Y,5,6,149,117,48,#957530
J,2.5Y61,2.5Y,6,1,153,147,135,#999387
J,2.5Y62,2.5Y,6,2,159,146,123,#9F927B
J,2.5Y63,2.5Y,6,3,163,145,111,#A3916F
J,2.5Y64,2.5Y,6,4,168,145,99,#A89163
J,2.5Y65,2.5Y,6,5,172,144,87,#AC9057
J,2.5Y66,2.5Y,6,6,176,143,74,#B08F4A
J,2.5Y68,2.5Y,6,8,182,142,45,#B68E2D
J,2.5Y71,2.5Y,7,1,179,173,160,#B3ADA0
J,2.5Y72,2.5Y,7,2,185,172,147,#B9AC93
J,2.5Y73,2.5Y,7,3,190,172,135,#BEAC87
J,2.5Y74,2.5Y,7,4,195,171,124,#C3AB7C
J,2.5Y75,2.5Y,7,5,199,170,111,#C7AA6F
J,2.5Y76,2.5Y,7,6,203,169,99,#CBA963
J,2.5Y78,2.5Y,7,8,209,168,72,#D1A848
J,2.5Y81,2.5Y,8,1,206,199,186,#CEC7BA
J,2.5Y82,2.5Y,8,2,211,199,172,#D3C7AC
J,2.5Y83,2.5Y,8,3,216,198,160,#D8C6A0
J,2.5Y84,2.5Y,8,4,221,198,148,#DDC694
J,2.5Y86,2.5Y,8,6,229,196,123,#E5C47B
J,2.5Y88,2.5Y,8,8,237,195,97,#EDC361
J,2.5YR11,2.5YR,1,1,37,25,24,#251918
J,2.5YR21,2.5YR,2,1,57,46,44,#392E2C
J,2.5YR22,2.5YR,2,2,64,44,39,#402C27
J,2.5YR23,2.5YR,2,3,71,41,34,#472922
J,2.5YR24,2.5YR,2,4,76,38,29,#4C261D
J,2.5YR31,2.5YR,3,1,81,69,65,#514541
J,2.5YR32,2.5YR,3,2,89,66,59,#59423B
J,2.5YR33,2.5YR,3,3,96,64,52,#604034
J,2.5YR34,2.5YR,3,4,102,61,46,#663D2E
J,2.5YR35,2.5YR,3,5,108,58,39,#6C3A27
J,2.5YR36,2.5YR,3,6,113,56,32,#713820
J,2.5YR41,2.5YR,4,1,106,93,89,#6A5D59
J,2.5YR42,2.5YR,4,2,114,91,82,#725B52
J,2.5YR43,2.5YR,4,3,122,88,75,#7A584B
J,2.5YR44,2.5YR,4,4,129,86,68,#815644
J,2.5YR45,2.5YR,4,5,135,83,62,#87533E
J,2.5YR46,2.5YR,4,6,140,81,54,#8C5136
J,2.5YR47,2.5YR,4,6,140,81,54,#8C5136
J,2.5YR48,2.5YR,4,8,150,75,38,#964B26
J,2.5YR51,2.5YR,5,1,131,119,115,#837773
J,2.5YR52,2.5YR,5,2,139,117,108,#8B756C
J,2.5YR53,2.5YR,5,3,147,114,101,#937265
J,2.5YR54,2.5YR,5,4,154,112,94,#9A705E
J,2.5YR55,2.5YR,5,5,161,109,86,#A16D56
J,2.5YR56,2.5YR,5,6,167,107,78,#A76B4E
J,2.5YR57,2.5YR,5,6,167,107,78,#A76B4E
J,2.5YR58,2.5YR,5,8,179,101,61,#B3653D
J,2.5YR61,2.5YR,6,1,157,145,140,#9D918C
J,2.5YR62,2.5YR,6,2,166,143,133,#A68F85
J,2.5YR63,2.5YR,6,3,173,140,126,#AD8C7E
J,2.5YR64,2.5YR,6,4,181,138,118,#B58A76
J,2.5YR66,2.5YR,6,6,195,133,103,#C38567
J,2.5YR68,2.5YR,6,8,207,128,87,#CF8057
J,2.5YR71,2.5YR,7,1,183,171,166,#B7ABA6
J,2.5YR72,2.5YR,7,2,191,169,159,#BFA99F
J,2.5YR73,2.5YR,7,3,200,167,152,#C8A798
J,2.5YR74,2.5YR,7,4,208,164,144,#D0A490
J,2.5YR76,2.5YR,7,6,223,159,127,#DF9F7F
J,2.5YR78,2.5YR,7,8,236,154,111,#EC9A6F
J,5B41,5B,4,1,88,98,101,#586265
J,5B51,5B,5,1,113,123,126,#717B7E
J,5B61,5B,6,1,139,149,152,#8B9598
J,5B71,5B,7,1,165,175,178,#A5AFB2
J,5BG41,5BG,4,1,87,98,97,#576261
J,5BG51,5BG,5,1,111,124,123,#6F7C7B
J,5BG61,5BG,6,1,137,150,148,#899694
J,5BG71,5BG,7,1,162,177,174,#A2B1AE
J,5G21,5G,2,1,44,50,47,#2C322F
J,5G31,5G,3,1,65,74,69,#414A45
J,5G41,5G,4,1,88,98,93,#58625D
J,5G51,5G,5,1,113,124,118,#717C76
J,5G61,5G,6,1,138,150,143,#8A968F
J,5G71,5G,7,1,163,177,169,#A3B1A9
J,5GY31,5GY,3,1,70,73,64,#464940
J,5GY41,5GY,4,1,94,97,87,#5E6157
J,5GY51,5GY,5,1,119,123,111,#777B6F
J,5GY61,5GY,6,1,145,149,136,#919588
J,5GY71,5GY,7,1,172,175,161,#ACAFA1
J,5P51,5P,5,1,124,120,127,#7C787F
J,5PB71,5PB,7,1,170,174,179,#AAAEB3
J,5R31,5R,3,1,82,68,68,#524444
J,5R41,5R,4,1,106,93,93,#6A5D5D
J,5R51,5R,5,1,130,119,119,#827777
J,5R71,5R,7,1,182,171,170,#B6ABAA
J,5RP1.7/1,5RP,1.7,1,50,40,45,#32282D
J,5RP41,5RP,4,1,104,93,97,#685D61
J,5RP51,5RP,5,1,128,119,122,#80777A
J,5RP61,5RP,6,1,154,145,148,#9A9194
J,5RP71,5RP,7,1,179,171,174,#B3ABAE
J,5Y11,5Y,1,1,32,28,19,#201C13
J,5Y21,5Y,2,1,52,49,40,#343128
J,5Y22,5Y,2,2,55,48,31,#37301F
J,5Y31,5Y,3,1,75,71,62,#4B473E
J,5Y32,5Y,3,2,79,71,51,#4F4733
J,5Y41,5Y,4,1,100,96,84,#646054
J,5Y42,5Y,4,2,104,96,73,#686049
J,5Y43,5Y,4,3,108,95,61,#6C5F3D
J,5Y44,5Y,4,4,111,95,48,#6F5F30
J,5Y51,5Y,5,1,126,121,109,#7E796D
J,5Y52,5Y,5,2,129,121,97,#817961
J,5Y53,5Y,5,3,133,121,85,#857955
J,5Y54,5Y,5,4,136,121,72,#887948
J,5Y56,5Y,5,6,142,120,44,#8E782C
J,5Y61,5Y,6,1,152,147,134,#989386
J,5Y62,5Y,6,2,155,147,121,#9B9379
J,5Y63,5Y,6,3,159,147,109,#9F936D
J,5Y64,5Y,6,4,162,147,97,#A29361
J,5Y66,5Y,6,6,168,146,69,#A89245
J,5Y71,5Y,7,1,178,173,160,#B2ADA0
J,5Y72,5Y,7,2,182,173,146,#B6AD92
J,5Y73,5Y,7,3,185,173,133,#B9AD85
J,5Y74,5Y,7,4,188,173,120,#BCAD78
J,5Y76,5Y,7,6,194,173,94,#C2AD5E
J,5Y81,5Y,8,1,204,200,185,#CCC8B9
J,5Y82,5Y,8,2,208,200,171,#D0C8AB
J,5Y83,5Y,8,3,211,200,158,#D3C89E
J,5Y84,5Y,8,4,214,200,145,#D6C891
J,5Y86,5Y,8,6,220,200,118,#DCC876
J,5YR11,5YR,1,1,37,26,22,#251A16
J,5YR21,5YR,2,1,57,47,43,#392F2B
J,5YR22,5YR,2,2,63,45,37,#3F2D25
J,5YR23,5YR,2,3,69,42,30,#452A1E
J,5YR24,5YR,2,4,74,40,23,#4A2817
J,5YR31,5YR,3,1,81,69,64,#514540
J,5YR32,5YR,3,2,88,67,56,#584338
J,5YR33,5YR,3,3,94,65,49,#5E4131
J,5YR34,5YR,3,4,99,63,42,#633F2A
J,5YR35,5YR,3,5,104,61,34,#683D22
J,5YR36,5YR,3,6,109,59,25,#6D3B19
J,5YR41,5YR,4,1,106,94,88,#6A5E58
J,5YR42,5YR,4,2,114,92,80,#725C50
J,5YR43,5YR,4,3,121,89,71,#795947
J,5YR44,5YR,4,4,127,87,63,#7F573F
J,5YR45,5YR,4,5,132,85,55,#845537
J,5YR46,5YR,4,6,136,83,47,#88532F
J,5YR47,5YR,4,6,136,83,47,#88532F
J,5YR48,5YR,4,8,144,79,27,#904F1B
J,5YR51,5YR,5,1,131,119,113,#837771
J,5YR52,5YR,5,2,138,117,105,#8A7569
J,5YR53,5YR,5,3,146,115,97,#927361
J,5YR54,5YR,5,4,152,113,88,#987158
J,5YR55,5YR,5,5,158,111,79,#9E6F4F
J,5YR56,5YR,5,6,164,109,70,#A46D46
J,5YR57,5YR,5,6,164,109,70,#A46D46
J,5YR58,5YR,5,8,174,105,49,#AE6931
J,5YR61,5YR,6,1,157,145,139,#9D918B
J,5YR62,5YR,6,2,165,143,130,#A58F82
J,5YR63,5YR,6,3,172,141,122,#AC8D7A
J,5YR64,5YR,6,4,179,139,113,#B38B71
J,5YR66,5YR,6,6,192,135,94,#C0875E
J,5YR68,5YR,6,8,202,131,75,#CA834B
J,5YR71,5YR,7,1,183,171,165,#B7ABA5
J,5YR72,5YR,7,2,191,169,156,#BFA99C
J,5YR73,5YR,7,3,199,167,147,#C7A793
J,5YR74,5YR,7,4,206,165,138,#CEA58A
J,5YR76,5YR,7,6,219,161,119,#DBA177
J,5YR78,5YR,7,8,230,157,100,#E69D64
J,5YR81,5YR,8,1,208,198,191,#D0C6BF
J,5YR82,5YR,8,2,217,196,182,#D9C4B6
J,5YR83,5YR,8,3,225,194,173,#E1C2AD
J,7.5GY21,7.5GY,2,1,46,50,45,#2E322D
J,7.5GY31,7.5GY,3,1,68,73,66,#444942
J,7.5GY41,7.5GY,4,1,92,98,89,#5C6259
J,7.5GY51,7.5GY,5,1,117,124,113,#757C71
J,7.5GY61,7.5GY,6,1,142,150,138,#8E968A
J,7.5GY71,7.5GY,7,1,169,176,163,#A9B0A3
J,7.5GY81,7.5GY,8,1,195,202,188,#C3CABC
J,7.5R1.7/1,7.5R,1.7,1,52,39,40,#342728
J,7.5R21,7.5R,2,1,58,46,46,#3A2E2E
J,7.5R22,7.5R,2,2,65,43,43,#412B2B
J,7.5R23,7.5R,2,3,72,40,41,#482829
J,7.5R34,7.5R,3,4,105,59,55,#693B37
J,7.5R35,7.5R,3,5,111,56,51,#6F3833
J,7.5R36,7.5R,3,6,116,52,47,#74342F
J,7.5R42,7.5R,4,2,115,90,88,#735A58
J,7.5R43,7.5R,4,3,123,87,83,#7B5753
J,7.5R44,7.5R,4,4,130,84,79,#82544F
J,7.5R46,7.5R,4,6,143,77,70,#8F4D46
J,7.5R48,7.5R,4,8,155,69,61,#9B453D
J,7.5R53,7.5R,5,3,147,114,109,#93726D
J,7.5R62,7.5R,6,2,165,142,139,#A58E8B
J,7.5Y21,7.5Y,2,1,51,49,41,#333129
J,7.5Y22,7.5Y,2,2,53,49,32,#353120
J,7.5Y31,7.5Y,3,1,74,72,62,#4A483E
J,7.5Y32,7.5Y,3,2,76,72,52,#4C4834
J,7.5Y41,7.5Y,4,1,99,96,84,#636054
J,7.5Y42,7.5Y,4,2,101,96,73,#656049
J,7.5Y43,7.5Y,4,3,104,97,60,#68613C
J,7.5Y51,7.5Y,5,1,124,122,109,#7C7A6D
J,7.5Y52,7.5Y,5,2,127,122,97,#7F7A61
J,7.5Y53,7.5Y,5,3,129,122,84,#817A54
J,7.5Y61,7.5Y,6,1,150,148,134,#969486
J,7.5Y62,7.5Y,6,2,153,148,121,#999479
J,7.5Y63,7.5Y,6,3,155,148,108,#9B946C
J,7.5Y71,7.5Y,7,1,176,174,159,#B0AE9F
J,7.5Y72,7.5Y,7,2,179,174,146,#B3AE92
J,7.5Y73,7.5Y,7,3,182,175,133,#B6AF85
J,7.5Y81,7.5Y,8,1,203,200,185,#CBC8B9
J,7.5Y82,7.5Y,8,2,206,201,170,#CEC9AA
J,7.5YR1.7/1,7.5YR,1.7,1,50,41,35,#322923
J,7.5YR11,7.5YR,1,1,36,26,21,#241A15
J,7.5YR21,7.5YR,2,1,56,47,42,#382F2A
J,7.5YR22,7.5YR,2,2,62,45,35,#3E2D23
J,7.5YR23,7.5YR,2,3,67,44,27,#432C1B
J,7.5YR31,7.5YR,3,1,80,70,63,#50463F
J,7.5YR32,7.5YR,3,2,87,68,55,#574437
J,7.5YR33,7.5YR,3,3,92,66,46,#5C422E
J,7.5YR34,7.5YR,3,4,96,65,38,#604126
J,7.5YR35,7.5YR,3,5,101,63,29,#653F1D
J,7.5YR36,7.5YR,3,6,104,62,17,#683E11
J,7.5YR41,7.5YR,4,1,105,94,87,#695E57
J,7.5YR42,7.5YR,4,2,112,92,77,#705C4D
J,7.5YR43,7.5YR,4,3,119,90,68,#775A44
J,7.5YR44,7.5YR,4,4,124,89,58,#7C593A
J,7.5YR45,7.5YR,4,5,129,87,49,#815731
J,7.5YR46,7.5YR,4,6,132,86,40,#845628
J,7.5YR47,7.5YR,4,7,136,84,29,#88541D
J,7.5YR51,7.5YR,5,1,130,120,112,#827870
J,7.5YR52,7.5YR,5,2,137,118,103,#897667
J,7.5YR53,7.5YR,5,3,144,116,94,#90745E
J,7.5YR54,7.5YR,5,4,150,115,84,#967354
J,7.5YR55,7.5YR,5,5,156,113,73,#9C7149
J,7.5YR56,7.5YR,5,6,161,111,63,#A16F3F
J,7.5YR57,7.5YR,5,6,161,111,63,#A16F3F
J,7.5YR58,7.5YR,5,8,169,108,39,#A96C27
J,7.5YR61,7.5YR,6,1,156,146,137,#9C9289
J,7.5YR62,7.5YR,6,2,164,144,128,#A49080
J,7.5YR63,7.5YR,6,3,170,142,118,#AA8E76
J,7.5YR64,7.5YR,6,4,177,141,109,#B18D6D
J,7.5YR65,7.5YR,6,5,182,139,98,#B68B62
J,7.5YR66,7.5YR,6,6,188,137,88,#BC8958
J,7.5YR67,7.5YR,6,6,188,137,88,#BC8958
J,7.5YR68,7.5YR,6,8,197,134,65,#C58641
J,7.5YR71,7.5YR,7,1,182,172,163,#B6ACA3
J,7.5YR72,7.5YR,7,2,190,170,153,#BEAA99
J,7.5YR73,7.5YR,7,3,197,168,143,#C5A88F
J,7.5YR74,7.5YR,7,4,203,167,133,#CBA785
J,7.5YR76,7.5YR,7,6,215,164,112,#D7A470
J,7.5YR78,7.5YR,7,8,225,161,90,#E1A15A
J,7.5YR81,7.5YR,8,1,208,198,189,#D0C6BD
J,7.5YR82,7.5YR,8,2,216,197,179,#D8C5B3
J,7.5YR83,7.5YR,8,3,223,195,168,#DFC3A8
J,7.5YR84,7.5YR,8,4,230,194,158,#E6C29E
J,7.5YR86,7.5YR,8,6,243,190,137,#F3BE89
J,N20,N,2,0,49,49,49,#313131
J,N30,N,3,0,72,72,72,#484848
J,N40,N,4,0,96,96,96,#606060
J,N50,N,5,0,121,121,121,#797979
J,N60,N,6,0,147,147,147,#939393
J,N70,N,7,0,173,173,173,#ADADAD
J,N80,N,8,0,200,200,200,#C8C8C8
